,Job Descriptions
0,flutter developer look hire expert flutter developer eligible post apply resume job type time time salary  2000000  4000000 month benefit flexible schedule food allowance schedule day shift supplemental pay join bonus overtime pay experience total work 1 year preferred housing rent subsidy yes industry software development work remotely temporarily covid19
1,django developer python django developer lead job codepdj 04 strong python experience api development rest rpc experience work api framework django flask experience evaluate improve efficiency program linux environment ability effectively handle multiple task high level accuracy attention detail good verbal write communication skill work knowledge sql json experience prefer good knowledge automate unit test pyunit
2,machine learn datum scientist contractor bangalore responsibility look capable datum scientist join analytic team report locally india bangalore person responsibility include research design development machine learn deep learning algorithm tackle variety fraud orient challenge datum scientist work closely software engineer program manager deliver end end product include datum collection big scale analysis explore different algorithmic approach model development assessment validation way production qualification 3 year hand development complex machine learning model modern framework tool ideally python base solid understanding statistic apply mathematic creative thinker prove ability tackle open problem apply non trivial solution experience software development python java similar language graduate msc computer science mathematic equivalent preferably machine learning ability write clean concise code quick learner independent methodical detail orient team player positive attitude collaborative good communication skill dedicate thing happen flexible capable decision ambiguous change environment advantage prior experience software developer data engineer advantage experience big datum advantage experience spark big advantage experience deep learning framework pytorch tensorflow keras advantage experience telecommunication domain andor fraud prevention advantage
3,ios developer job description strong framework outside io plus io experience generalist engineer background relate technology plus discipline approach development documentation file structure strong visual design sense excellent taste constant desire improve learn thing high excellent understanding network mobile network issue concurrency threading experience work internationalized app responsibility design build advanced application ios platform collaborate cross functional team define design ship new feature work bug fixing improve application performance continuously discover evaluate implement new technology maximize development efficiency publish ios app app store deep familiarity objective c cocoa touch experience work io framework core datum core animation core graphic core text experience party library api work knowledge general mobile landscape architecture trend emerge technology solid understand mobile development life cycle responsible work different layer ios app help architect maintain set native mobile application
4,stack developer job responsibility stack engineer react role impact petsmart transforming engineering team meet need rapidly change retail environment role foundational help build craft petsmart prowess react j native key framework mobile web property work web mobile application build amazing mobile customer experience impact customer store digital channel goal responsibility include act stack developer petsmart web mobile solution stack engineer help build petsmart competency react j native mobile web property partner web engineering team strategy share component application good practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintain spirit experience proactively recommendation technical enhancement performance scalability maintainability accountable deliver agile environment create oversee completion technical development mobile web solution work cross functional business team design develop solution base business requirement identify area improvement design implementation process tool automate testing quality assurance mentor le experienced developer remain current late web technology seek integrate solution appropriate bring table 5  year hand experience web development 2  year recent experience work react strong experience j library framework redux angular vue etc expert understand javascript html cs restful apis http network concept stack web development architecture expertise experience mvc object orient programming concept experience implement responsive design adaptive design demonstrate strong end development skill especially concern accessibility extensibility client compute object orient design pattern object orient cs experience sass postcss framework demonstrate passion user experience design usability familiar experience make use open source component ability address short term tactical requirement lose site long range strategic direction self motivate discipline meet deadline speed accuracy professional attitude excellent write oral communication skill excellent analytical trouble shoot skill collaborative team player ability resolve conflict constructive manner work obstacle ensure project success b computer science equivalent team grow fast pace invest heavily cut edge technology importantly people petsmart team department value business partner area company level associate empower come innovative idea strategic impact business pride work love pet click meet mike goodwin petsmart cio love home office offer outstanding amenity fun reward workplace include pet friendly environment bring pet work work life balance family event movie night art event holiday festival dog gym equipment fitness class massage therapist personal trainer sit stay caf serve fresh breakfast lunch option starbuck cart productivity fine lil paw learn center onsite childcare facility volunteer event petsmart charity submit resume
5,java developer software developer integration immediate opening dynamic akron cleveland area company look experienced software developer integration developer design develop test maintain enhance multiple system serve internal user supplier customer integration developer interact internal business partner deliver system advance company strategy improve enterprise capability candidate need demonstrate experience follow skillset prove technical expertise design development code testing debug enterprise software strong knowledge web service wsdl soap restful experience work relational database experience author maintain datum access database query familiar standard software design pattern methodology mvc architecture proficient follow technology c net net core html5 css3 mssql mysql reactjs experience work andor administer microsoft iis experience syspro erp package plus require candidate able execute follow function create deploys code configuration associate support project work application portfolio assist create evolve standardize technical process source code management continuous integration etc submit code configuration high level quality performance security scalability extensibility assist creation evaluation business requirement project plan requirement include pride deliver work time quality good problem solve decision ability ability learn quickly fast pace environment ability work independently team effectively juggle continuous mix support project work able work hour provide support need ideal candidate self starter able work independently experience skillset mention position require highly responsible organized individual good work ethic minimum year experience tool technology note compensation commensurate experience industry manufacture education bachelor degree computer science information system relate field combination education equivalent work experience job type contract experience software development 2 year require work location location work remotely
6,stack developer senior stack developer 1800026h cwt look senior stack developer prove end skill strong end skill role use cut edge technology help develop generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop end system design scale analyze business software requirement develop end software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification bsc degree computer science engineer relevant field equivalent industry experience minimum 2 year experience develop follow nodejs java experience nosql solution mongodb elasticsearch redis experience react angular knowledge single page application spa development advantage experience javascript cs html responsive ui cross browser advantage experience develop rich large scale web application advantage experience develop robust http apis end service passion technology building product team player excellent interpersonal skill self motivate independent learner eligible candidate valid passport able travel israel 6 week training shortly hire primary location il chicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p thotel product experience level 3 5 year job post 9 2018 equal opportunity employer affirmative action employer organization discriminate employment practice applicant race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protect class
7,javascript developer job description reactjs  nodej azure function graphql capability strong hand experience javascript framework like reactjs hand experience nodejs hand experience azure function integration strong hand experience html5 css3 javascript excellent write verbal communication knowledge rest graphql experience range 3 8 year educational qualification graduation pg doctorate job responsibility implement visual component build rich ui complex internal external system ownership module build foundation new system inline improve quality process productivity passion quality write clean solid readable code scale perform skill require reactj nodejs azure function graphql job code kl dp3pzb64
8,devops engineer main responsibility deliverable manage support rollout scalability execution automation consume team ensure automation service scale handle rapid growth automation establish ability measure optimize system health performance ongoing basis configure tune troubleshoot automation achieve optimal application performance stability strong scripting experience bash ruby python java solid experience work commercial grade automate deployment configuration mgmt tool puppet chef cloudify cfengine puppet skill strongly covet strong hand experience open source provision tool cobbler foreman php linux likewise open source system tool utilitie strong senior level linux window os experience troubleshoot skill experience application debug performance scalability capacity planning expertise manage system lifecycle automation include configuration code deployment user acceptance test production environment improve automated product performance health check self healing capability complex highly available cloud environment participate assist drive automation tool roadmap increase availability performance reduce support demand drive adoption infrastructure code devops orient organization partner rd team engineer resilient supportable scalable product architect solution leverage good cloud infrastructure experience tool software urban code hadoop tomcat mule openam apache experience f5 load balancer network theory protocol tcp ip http ntp dns hardware component
9,software engineer overview base silicon valley tintri wholly subsidiary datadirect network ddncom datum scale powerhouse world large privately hold storage company tintri solution serve need enterprise datum centre intelligent infrastructure product portfolio include advanced technology tintri acquire september 2018 nexenta acquire 2019 intelliflash acquire western digital november 2019 portfolio offer fresh choice new experience elevate user experience automation analytic insight tight integration application workflow enterprise application include mission critical database business application virtualization flexible software define solution learn tintri portfolio solution httpswwwtintricomproduct tintri look motivated passionate individual self motivate work career value thrive environment collaboration teamwork good quest provide game change storage solution job description job location pune red senior software engineer rest api dev job description responsibility look senior software engineer red tintri storage engineering team design build deliver configuration deployment tool ddn red software storage product participate definition implementation red rest api allow configure deploy manage red solution premise cloud participate system tool definition implementation provide interaction storage deployment perform analytic provide value add service customer user development competency knowledge rest api strong experience develop debug c c linux unix experience develop python experience git gerrit jenkins good write verbal communication skill english ideal candidate knowledge experience follow subject knowledge configuration deployment large system cloud premise knowledge deployment vms container knowledge development utilization control data plane api system management skill experience minimum 7 year software development experience excellent write verbal communication skill excellent time management skill ability independently prioritize multitask work deadline fast pace environment strong interpersonal skill ability interact effectively program staff strong team player highly effective analytical problem solve decision make influence capability storage industry experience desire minimum bs ms computer engineering computer science relate technical field
